VKM;UNIQUE;Keeper Name / Halter Name / Nom du détenteur / Название владельца;Country Страна;Status Статус;www.;
AACH;AACH;Zakłady Azotowe Chorzów S.A.;PL;Revoked;azoty-adipol.pl;
AAE;AAE;AAE GmbH;DE;in use;aae.ch;
AAEC;AAEC;VTG Schweiz GmbH;CH;in use;aae.ch;OTIF
AAFM;AAFM;Asociación de Amigos del Ferrocarril de Madrid;ES;in use;aafmadrid.es;
AAPSL;AAPSL;Amicale des Agents de Paris St Lazare;FR;in use;;
AB;AB;Appenzeller Bahnen;CH;in use;appenzellerbahnen.ch;OTIF
ABB;ABB;Hitachi Energy Sweden AB;SE;in use;hitachienergy.com;
ABCAR;ABCAR;AB Prijevoz d.o.o.;HR;in use;;OTIF
ABE;ABE;Ankum-Bersenbrücker Eisenbahn GmbH;DE;in use;abe-gmbh.net;
ABEG;ABEG;Anhaltinisch-Brandenburgische Eisenbahngesellschaft mbH;DE;in use;abeg-bahn.de;
ABFC;ABFC;Autorails de Bourgogne Franche-Comtè;FR;in use;x4039.free.fr;
ABG;ABG;Anhaltische Bahngesellschaft;DE;in use;abg.dwe-web.info;
ABI;ABI;Eurasia Int Trade;DE;in use;;
ABLOG;ABLOG;AB Prevoz d.o.o.;RS;in use;;OTIF
ABR;ABR;Abellio Rail GmbH;DE;Revoked;abeliio.de;
ABRBW;ABRBW;SWEG Bahn Stuttgart GmbH;DE;Revoked;;
ABRM;ABRM;Abello Rail Mitteldeutschland GmbH;DE;in use;abellio.de;
ABRN;ABRN;Abellio Rail NRW GmbH;DE;in use;abellio.de;
ABRRS;ABRRS;Road & Rail Service;DE;in use;road-rail-service.com;
ABRS;ABRS;Abellio Rail Baden-Württemberg GmbH;DE;Revoked;abellio.de;
ABT;ABT;AB Tankvagnar;SE;in use;tankvagnar.se;
ABTR;ABTR;AB Transitio;SE;in use;transitio.se;
ABVT;ABVT;AB Vagon Trans s.r.o.;CZ;in use;;
ACCIO;ACCIO;Acciona Infraestructuras;ES;in use;acciona.es;
ACH;ACH;AlzChem Trostberg GmbH;DE;in use;alzchem.com;
ACISA;ACISA;Agrupación Cántabra de Construcción e Ingeniería (ACCISA);ES;in use;;
ACPR;ACPR;Amicale des Cheminots pour Préservation de la 141 R 1126;FR;in use;trainvapeur-toulouse.com;
ACTS;ACTS;ACTS Abroll-Container-Transport System AG;CH;Revoked;actsag.ch;OTIF
ACTS;ACTS;ACTS Nederland B.V.;NL;Revoked;acts-nl.com;
ACTSB;ACTSB;ACTS Abroll-Container-Transport-Service AG;CH;in use;actsag.ch;OTIF
ACTSL;ACTSL;ACTS Luxembourg;LU;in use;;
AD;AD;Freunde des Schienenverkehrs Flensburg e.V;DE;in use;angelner-dampfeisenbahn.de;
ADAM;ADAM; Uwe Adam Transport;DE;in use;uwe-adam-transporte.de;
ADE;ADE;A.D.E. Eisenbahnverkehrsunternehmen GmbH;DE;in use;;
ADEGS;ADEGS;Ade Gas Oil Company SRL;RO;in use;adegas.ro;
ADEPF;ADEPF;AUXILIAR DE PATRIMONIO FERROVIARIO;ES;in use;adepf.es;
ADFER;ADFER;ADRIAFER S.R.L.;IT;in use;adriader.com;
ADGM;ADGM;AD Gleisbau Mittelrhein GmbH;DE;in use;;
ADHD;ADHD;L'AUTORAIL X2800 DU HAUT-DOUBS (X2800HD);FR;in use;x2800-hd.com;
ADIF;ADIF;ADIF ( Administrador de Infraestructuras Ferroviarias);ES;in use;adif.es;
ADKRS;ADKRS;ADK Rail service, s.r o.;CZ;in use;;
ADMKR;ADMKR;Silo P Kruse Betriebs GmbH;DE;in use;;
ADOCI;ADOCI;ADOÇIM ÇIMENTO BETON SAN VE TIC. A.Ş.;TR;in use;adocim.com;OTIF
ADOSI;ADOSI;Advalue Dos Iberica S.L.;ES;in use;advalue2iberica.es;
ADPF;ADPF;ADP- Fertilizantes, S.A.;PT;in use;adp-fertilizantes.pt;
ADRIA;ADRIA;ADRIA RAIL DOO;HR;in use;adria-rail.hr;
ADSP;ADSP;Autorita' di Sistema Portuale del Mar Ligure Orientale;IT;in use;adspmarligureorientale.it;
ADT;ADT;Adria Transport D.O.O.;SI;in use;adria-transport.com;
AED;AED;Alpine-Energie Deutschland GmbH;DE;in use;alpine-energie.de;
AERS;AERS;AERS Rail Services Deutchland GmbH;DE;in use;aers-rail-services.de;
AEV;AEV;Achertaeler Eisenbahn Verein e.V;DE;in use;;
AF;AF;Albert Fischer GmbH;DE;in use;albert-fischer.de;
AFFR;AFFR;Arlington Fleet France;FR;in use;;
AFG;AFG;Andreas Forster, Dienstleistungen Schienenverkehr;DE;in use;;
AFL;AFL;AFL-Bahndienste GmbH;DE;in use;afl-bahndienste.de;
AGA;AGA;AGA Gas AB;SE;Revoked;;
AGC;AGC;AGC Flat Glass Czech a.s., člen AGC Group;CZ;in use;;
AGE;AGE;Arbeitsgemeinschaft Geesthachter Eisenbahn e.V;DE;in use;eisenbahn.geesthacht.de;
AGIE;AGIE;agilis Eisenbahngesellschaft mbH & Co. KG;DE;in use;agilis.de;
AGIL;AGIL;agilis Verkehrsgesellschaft mbH & Co. KG;DE;in use;agilis.de;
AGIT;AGIT;AGIT d.o.o.;HR;in use;agit.hr;OTIF
AGJ;AGJ;Anten-Gräfsnäs Järnväg;SE;in use;agj.net;
AGL;AGL;Ardagh Glass Limmared AB;SE;in use;ardaghglass.com;
AGPI;AGPI;AGPI, a.s.;CZ;in use;;
Agpjc;AGPJC;Agropodnik a.s. Jičín;CZ;in use;;
AGPJI;AGPJI;AGROPODNIK, akciová společnost, Jihlava;CZ;in use;;
AGRAD;AGRAD;AGRO Radomyšl a.s.;CZ;in use;;
AGRCS;AGRCS;AGRO CS a.s.;CZ;in use;agrocs.cz;
AGRN;AGRN;AGRANA ROMANIA;RO;in use;;
AGROZ;AGROZ;Agro Žamberk a.s.;CZ;in use;;
AGT;AGT;Allgemeine Gleis- und Tiefbau- Bauunternehmung GmbH;DE;in use;agt-mainz.de;
AGTDU;AGTDU;ALTUN GLEIS UND TIEFBAU GMBH;DE;in use;agtgmbh.de;
AGUAD;AGUAD;TRANSPORTES Y GRUAS AGUADO S.L.;ES;in use;gruasaguado.com;
AGUPW;AGUPW;AGU Przedsiębiorstwo Wielobranżowe Szczepan Kuśmierek;PL;in use;;
AH;AH;ATLAS Hannover Baumaschinen GmbH & Co.;DE;in use;atlas-hannover.de;
AHD;AHD;Rail system s.r.o;CZ;in use;;
AHG;AHG;AHG Handel & Logistik GmbH;DE;in use;ahg-gruppe.de;
AHM;AHM;A.H. Meyer & Cie AG;CH;in use;ahmeyer.ch;OTIF
AHYRE;AHYRE;ANDALUZA DE HIERROS Y RECUPERACIONES S.A.;ES;in use;ahyresa.es;
AINÖ;AINO;ARGE Istandhaltung Niederösterreich;AT;in use;;
AIROL;AIROL;Filippi SA;CH;in use;;OTIF
AIRRA;AIRRA;AIR-RAIL.S.L;ES;in use;air-rail.org;
AIUK;AIUK;Aggregate Industries;UK;in use;aggregate.com;
AIX;AIX;AIXrail GmbH;DE;in use;aixrail.de;
AJ;AJ;Association de Jeunes pour l'Entretien et la Conservation des Trains d'Autrefois;FR;in use;ajecta.org;
AJF;AJF;Arvidsjaurs Järnvägsförening;SE;in use;;
AK;AK;Adria kombi d.o.o., Ljubljana;SI;in use;adriakombi.si;
AKE;AKE;AKE-Eisenbahntouristik – jörg Petry e.K.;DE;in use;ake-eisenbahntouristik.de;
AKIEM;AKIEM;AKIEM SAS;FR;in use;;
AKN;AKN;AKN Eisenbahn GmbH;DE;in use;akn.de;
AKO;AKO;Arbeitskreis Ostertalbahn (AkO) e.V;DE;in use;ostertalbahn.de;
AKP;AKP;Akwawit-Polmos S.A.;PL;in use;akwawit.com.pl;
AKRES;AKRES;Akiem Réseau SAS;FR;in use;akiem.com;
AL;AL;ALS s. c. Andrzej Bochniarz, Łukasz Bochniarz;PL;in use;;
ALAND;ALAND;ARBOTEC GmbH;DE;in use;arbotec-landschaftspflege.de;
ALBA;ALBA;ALBATROS klub;SK;in use;albatrosklub.sk;
ALBE;ALBE;ALBEMARLE EUROPE SPRL;BE;in use;albemarle.com;
ALBO;ALBO;Alberdingk Boley GmbH;DE;in use;;
ALBRA;ALBRA;ALBRAIL shpk;AL;in use;albrail.al;OTIF
ALCA;ALCA;Autorail Lorraine Champagne-Ardenne;FR;in use;autorail.lorraineschampagneardenne.facebook.com;
ALCAN;ALCAN;Rio Tinto Alcan;UK;in use;riotinto.com;
ALCO;ALCO;Alcosuisse AG;CH;in use;eav.admin.ch/alcosuisse/?lang=en;OTIF
ALD;ALD;AIR LIQUIDE Deutchland GmbH;DE;in use;airliquide.de;
ALG;ALG;Autolink Group AS;NO;in use;autolink.as;
ALGEP;ALGEP;ALGEPOSA INTERMODAL, S.A.;ES;in use;railsider.com;
ALHB;ALHB;ALSTOM Transport Deutschland GmbH;DE;in use;alstom.com;
ALLIC;ALLIC;Air Liquide CO2 Europe GmbH;DE;in use;airliquide.com;
ALLIM;ALLIM;Autorail Limousin;FR;in use;autorail-limousin.fr;
ALLSK;ALLSK;ALLEGRIA.SK, s.r.o.;SK;in use;;
ALPHA;ALPHA;Vossloh Rail Services Deutschland GmbH;DE;in use;vossloh.com;
ALPIN;ALPIN;Alpine Bau GmbH;AT;in use;alpine.at;
ALRO;ALRO;ALRO S.A.;RO;in use;;
ALS;ALS;ALSTOM Lokomotiven Service GmbH;DE;in use;alstom.de;
ALSA;ALSA;ALSA RAIL;ES;in use;alsa.es;
ALSK;ALSK;ALPINESLOVAKIA, s.r.o.;SK;in use;alpineslovakia.sk;
ALSRO;ALSRO;ALSTOM TRANSPORT SA;RO;in use;alstom.com;
ALST;ALST;ALSTOM TRANSPORT Saint Ouen;FR;in use;alstom.com;
ALSTB;ALSTB;Alstom Transport SA Belfort;FR;in use;alstom.com;
ALSTR;ALSTR;Alstom Transport Reichshoffen;FR;in use;alstom.com;
ALTA;ALTA;Roider GmbH;DE;in use;;
ALTAB;ALTAB;Alstom Transport AB;SE;in use;alstom.com/se/alstom-sverige;
ALTR;ALTR;Alstom Traction BV;NL;in use;aIstom.com;
ALTRA;ALTRA;“ALTRANS” Koczerski I., Kobierecki Z., Miloch A., Sarzyński P. sp. j.;PL;in use;altrans.wroc.pl;
ALU;ALU;ALUSTA S.A.;PL;in use;alusta.pl;
ALWSA;ALWSA;“ALVENTA” Spółka Akcyjna;PL;in use;alwernia.com.pl;
ALZ;ALZ;Alza Cargo sp. z o.o.;PL;in use;alzacargo.pl;
AM;AM;Andreas Mühlbauer Bau GmbH;DE;in use;muehlbauer-bau.de;
AMA;AMA;ALKIMAQ ALBARDIA S.L.;ES;in use;;
AMBR;AMBR;Ambrogio Trasporti S.p.A.;IT;in use;ambrogio.it;
AMBRO;AMBRO;AMBRO S.A;RO;in use;ambro.ro;
AMG;AMG;ARCELOR MITTAL GALATI S.A.;RO;in use;arcelormittal.com;
AMH;AMH;ARCELOR MITTAL HUNEDOARA SA;RO;in use;arcelormittal.com;
AMIXO;AMIXO;Amixo AB;SE;in use;amixo.se;
AML;AML;Adam & MaLoWa Lokvermietung GmbH;DE;in use;lok-vermietung.de;
AMO;AMO;ArcelorMittal Ostrava a.s.;CZ;in use;arcelormittal.com;
AMORT;AMORT;ATLAS Mortag Baumaschinen & Fahrzeugtechnik e.K.;DE;in use;mortag-atlas.de;
AMP;AMP;AMP Bahnlogistik;DE;in use;amp-bahnlogistik.de;
AMPR;AMPR;Amprion GmbH;DE;in use;amprion.net;
AMR;AMR;Altmark-Rail GmbH;DE;in use;altmark-rail.com;
AMT;AMT;Peter Bosáček - AM Tuning;SK;in use;;
AMTGC;AMTGC;AMT GENOVA SPA - FERROVIA GENOVA CASELLA;IT;in use;amt.genova.it;
AMTNL;AMTNL;AMT RailRoad BV;NL;in use;amtgroup.nl;
AMTPI;AMTPI;ARCELOR MITTAL TUBULAR PRODUCTS SA;RO;in use;arcelormittal.com;
AMTPR;AMTPR;ARCELOR MITTAL TUBULAR PRODUCTS ROMAN SA;RO;in use;faur.ro;
AMUR;AMUR;AMURCO SRL;RO;in use;;
AN;AN;Arriva Nederland;NL;in use;arriva.nl;
ANAT;ANAT;ANAT-Musée du tram;CH;in use;museedutram.ch;OTIF
ANATE;ANATE;ANATEMA, s. r. o.;SK;in use;;
ANCOM;ANCOM;Mer Mec S.p.A.;IT;in use;mermecgroup.com;
ANGEL;ANGEL;Angel Trains Limited;UK;in use;angeltrains.co.uk;
ANMSG;ANMSG;ATLAS NORDHESSEN bopp fahrzeug-und baumaschinentechnik GmbH & Co. KG;DE;in use;atlas-nordhessen.de;
ANPT;ANPT;ANAPET ULUSLARARASI NAK. PET. INŞAAT SAN. ve TİC. A.Ş.;TR;in use;anapet.net;OTIF
ANS;ANS;ANSETT LOGISTICS S.R.L.;RO;in use;ansett-logistics.ro;
ANT;ANT;MSB Akaryakit Ikmal ve NATO POL Tesisleri Işletme Başkanliği;TR;in use;ant.gov.tr;OTIF
ANVL;ANVL;Vladimír Anton;CZ;in use;antonvladimir.cz;
AP;AP;Amoníacos de Portugal, SA;PT;Revoked;;
APCC;APCC;Association pour la Préservation de la CC 6570;FR;in use;cc6570.fr;
APDMH;APDMH;AP2800;FR;in use;ap2800.nuxie.net;
APH;APH;Agropolychim / Агрополихим;BG;in use;agropolychim.bg;
APL;APL;Arriva Polska sp. z o.o.;PL;in use;arriva.pl;
APMFS;APMFS;APMFS (Association pour la Préservation du Matériel Ferroviaire Savoyard);FR;in use;apmfs.fr;
АПОРР;APORR;ПОРР България ЕООД;BG;in use;porr.at;
APPFI;APPFI;Fundació per la Preservació del Patrimoni Ferroviari i Industrial;ES;in use;appfi.net;
APPMF;APPMF;Association pour la Préservation du Patrimoine et des Matériel Ferroviaires;FR;in use;appmf.fr;
APRO;APRO;CCI APROPORT;FR;in use;aproport.com;
AQR;AQR;Aquitaine Rail;FR;in use;groupe-cassous.com;
AR;AR;Anglia Railways Train Services;UK;Blocked;angliarailways.co.uk;
ARAGB;ARAGB;ARAG Bau AG;CH;in use;arag-bau.ch;OTIF
ARAIL;ARAIL;Aarsleff Rail A/S;DK;in use;aarsleff.com;
ARBGI;ARBGI;Arbegui s.a.;ES;in use;arbegui.com;
ARBR;ARBR;Rail ARB s.r.o;SK;in use;;
ARC;ARC;Aqaba Railway Corporation;JO;in use;;OTIF
ARCET;ARCET;Association Rhone-alpine de Conservation d'Engins Thermique;FR;in use;site.asso-arcet.com;
ARCO;ARCO;Arco Transportation GmbH;DE;in use;;
ARETZ;ARETZ;Aretz GmbH & Co. KG;DE;in use;aretzwaggon.de;
ArFer;ARFER;Ar.Fer S.r.l. a Socio Unico;IT;in use;;
ARGE;ARGE;ARGE 1041.15;AT;in use;arge1041.at;
ARGO;ARGO;ARGO Bohemia s.r.o.;CZ;in use;argogroup.cz;
ARGÜ;ARGU;Argü Rail Transport and Warehousing SA, Istanbul;TR;in use;ar-gu.com.tr;OTIF
ARGUS;ARGUS;ARGUS S.A.;RO;in use;argus-oil.ro;
ARHRO;ARHRO;ATLAS Rostock GmbH;DE;in use;atlas-rostock.de;
ARIRO;ARIRO;ASTRA RAIL INDUSTRIES SA;RO;in use;greenbrier-europe.com;
ARL;ARL;AR Logistic Consulting GmbH;DE;in use;;
ARM;ARM;Armenian Railway CJSC;AM;in use;;OTIF
ARMEX;ARMEX;Przedsiębiorstwo Inżynieryjno-Budowlane ARMEX Sp. z o.o;PL;in use;armex.com.pl;
ARMF;ARMF;ARMAFER S.r.l.;IT;in use;;
ARMR;ARMR;Atlas Rhein main GmbH;DE;in use;atlas-rhein-main.de;
ARP;ARP;ARRIVA RP Sp. z o.o.;PL;in use;arriva.pl;
ARR;ARR;ARRIVA vlaky s.r.o.;CZ;in use;arriva.cz;
ARS;ARS;ARS Altmann AG;DE;in use;ars-altmann.de;
ARSSA;ARSSA;Acciona Rail Services s.a.;ES;in use;acciona-railservices.es;
ARST;ARST;ARST S.p.A.;IT;in use;arst.sardegna.it;
ARTE;ARTE;Arterail;FR;in use;arterail.com;
ARTIN;ARTIN;ART In Energy sp. z o.o.;PL;in use;artinenergy.pl;
ARVMS;ARVMS;ARRIVA Mobility Solurions, s.r.o.;SK;in use;arriva.sk;
ARVSK;ARVSK;Arriva Service s.r.o;SK;in use;;
ARXA;ARXA;Arxada AG;CH;in use;arxada.com;OTIF
AS;AS;Alexander Schröter;DE;in use;;
ASBB;ASBB;AS BB25500 (Association de Sauvegarde d'une locomotive de type BB 25500);FR;in use;asbb25500.wixsite.com;
ASBRE;ASBRE;ASB Recycling;BE;in use;aperam.com;
ASC;ASC;ASICAR SRL;RO;in use;;
ASCEN;ASCEN;Ascendos Rail Leasing Sarl;LU;Revoked;ascendos.com;
ASCH;ASCH;ASCH INFRAESTRUCTURAS Y SERVICIOS SA;ES;in use;aschinfraestructuras.com;
ASEOL;ASEOL;Shell Aseol AG;CH;in use;;OTIF
ASERD;ASERD;A.S. - Erbau;DE;in use;as-erdbau.eu;
ASFER;ASFER;ASFER LOJISTIK SAN: TIC: LTD ŞTI;TR;in use;asferlojistik.com;OTIF
ASKEO;ASKEO;askeo rail GmbH;DE;in use;askeorail.de;
ASLAN;ASLAN;Aslan Denizcilik Anonim Sirketi;TR;in use;aslandenizcilik.com.tr;OTIF
ASLVG;ASLVG;A.V.G. Ascherslebener Verkehrsgesellschaft mbH;DE;in use;die-avg.de;
ASm;ASM;Aare Seeland Mobil AG;CH;in use;aare-seeland-mobil.ch;OTIF
ASP;ASP;Anschlussbahn-Servicegesellschaft Pressnitztalbahn mbH;DE;in use;pressnitztalbahn.com;
ASPO;ASPO;Armádní Servisní, příspěvková organizace;CZ;in use;as-po.cz;
ASPWR;ASPWR;Aspekt Przedsiębiorstwo Handlowo-Usługowe;PL;in use;;
ASSIG;ASSIG;ASSIGNIA INFRAESTRUCTURAS, S.A.;ES;in use;assignia.com;
ASTR;ASTR;Astra Finance / "Астра финанс" ЕООД;BG;in use;;
ASTRA;ASTRA;ASTRA VAGOANE ARAD SA;RO;in use;;
ASWL;ASWL;Schneider & Schneider GmbH;DE;in use;;
AT;AT;Arriva Tog A/S;DK;in use;arrivatog.dk;
ATA;ATA;ATA KARBON MADEN NAKLİYAT DEMİRYOLU TAŞIMACILIĞI VE IŞLETMECİLİĞİ BAKIM ONARIM VE LOJİSTİK HİZMETLERİ GIDA İNŞAAT DIŞ TİCARET LİMİTED ŞİRKETİ;TR;in use;atakarbon.com.tr;OTIF
ATAB;ATAB;A-Train AB;SE;in use;arlandaexpress.com;
ATAC;ATAC;ATAC S.p.A.;IT;in use;atac.roma.it;
ATBE;ATBE;Alpha Trains Belgium NV;BE;in use;alphatrains.eu;
ATC;ATC;ASTRA TRANS CARPATIC SRL;RO;in use;astratranscarpatic.ro;
ATCH;ATCH;ANGEL TRAINS SWITZERLAND;CH;Revoked;angeltrains.com;OTIF
ATDE;ATDE;Alpha Trains Europa GmbH;DE;in use;alphatrains.eu;
ATG;ATG;DB Cargo Logistics GmbH;DE;in use;dbcargo.com/rail-deutschland-automotive-de/start;
ATGER;ATGER;ALSTOM Transportation Germany GmbH;DE;in use;alstom.com;
ATGRV;ATGRV;ATELIERELE CFR GRIVITA SA;RO;in use;;
ATHOS;ATHOS;ATHOS RAIL S.A.;ES;in use;athoslogistica.com;
ATIB;ATIB;ALPHA TRAINS IBERIA;ES;in use;alphatrains.eu;
ATIT;ATIT;Alpha Trains Italia S.r.l.;IT;in use;alphatrains.eu;
ATL;ATL;ATLAS GmbH;DE;in use;atlasgmbh.com;
ATLAS;ATLAS;ATLAS Leipzig Baupartner GmbH;DE;in use;atlas-leipzig.de;
ATLD;ATLD;Alpha Trains Locomotives GmbH;DE;in use;angeltrains.com;
ATLII;ATLII;Alpha Trains Luxembourg No. 2 S.à.r.l.;LU;in use;alphatrains.eu;
ATLU;ATLU;Alpha Trains Luxembourg s.à.r.l.;LU;in use;alphatrains.eu;
ATMBG;ATMBG;"ATM BG" d.o.o, Beograd;RS;in use;atmbg.rs;OTIF
ATN;ATN;Gentra sp. z o.o. sp. k.;PL;in use;;
ATPL;ATPL;Alpha Trains Polska Sp. z o.o.;PL;in use;alphatrains.eu;
ATPOL;ATPOL;Atlas Poland Sp.  z o.o.;PL;in use;atlas-poland.pl;
ATR;ATR;AURATOR sp. z o. o.;PL;in use;aurora.com.pl;
ATRR;ATRR;ATIR RAIL;FR;in use;;
ATRTC;ATRTC;Atritec AB;SE;in use;atritec.se;
ATS;ATS;Auto Transport Service AS;NO;in use;autotransport.no;
ATSA;ATSA;ALSTOM TRANSPORTE S.A. (TGS);ES;in use;alstom.com;
ATSF;ATSF;Association des Trains du Sud de la France (ATSF);FR;in use;atsf.webself.net;
ATTCV;ATTCV;Association du Train Touristique de Centre Var;FR;in use;attcv.fr;
ATVA;ATVA;Amis de la traction à Vapeur en Ardenne;FR;in use;cftsa.fr;
ATVMO;ATVMO;Amicale des Anciens et Amis de la Traction Vapeur  Section Montluçon/Auvergne;FR;in use;aaatvmontlucon.fr;
ATVMP;ATVMP;Amicale des Anciens et Amis de la Traction Vapeur - Midi Pyrénées;FR;in use;241P9.fr;
ATVMU;ATVMU;Association des Anciens et Amis de la Traction Vapeur Mulhouse;FR;in use;;
ATVSP;ATVSP;Amicale des Anciens et Amis de la Traction Vapeur Saint Pierre des Corps;FR;in use;231e41.fr;
ATVVL;ATVVL;Amicale des Anciens et Amis de la Traction Vapeur - Centre Val de Loire;FR;in use;141r840.com;
ATW;ATW;Arriva Trains Wales / Trenau Arriva Cymru;UK;Blocked;arrivatrainswales.co.uk;
AUDI;AUDI;AUDI AG;DE;in use;audi.de;
AULOC;AULOC;Augsburger Localbahn GmbH;DE;in use;augsburger-localbahn.de;
AUR;AUR;Aurora Rail Oy;FI;in use;easmar.fi;
AUSTR;AUSTR;AUSTRO Baumaschinen s.r.o.;CZ;in use;austrobaumaschinen.cz;
AUTG;AUTG;AUTOGAS IMPEX SRL;RO;in use;;
AVA;AVA;Aargau Verkehr AG (AVA);CH;in use;;OTIF
AVC;AVC;ASTRA VAGOANE CALATORI SA;RO;in use;transferoviarcalatori.ro;
AVE;AVE;Alta Velocidad de Español;ES;Blocked;;
AVEXP;AVEXP;Associazione Verbano Express;IT;in use;verbanoexpress.com;
AVG;AVG;Albtal-Verkehrs-Gesellschaft mbH;DE;in use;avg.info;
AVHCB;AVHCB;ATLAS CB Baumaschinen KG;DE;in use;atlas-cottbus.de;
AVHHH;AVHHH;Atlas Hamburg GmbH;DE;in use;;
AVHLB;AVHLB;ATLAS von der Wehl GmbH;DE;in use;;
AVIS;AVIS;Aвиc Инженеринг ЕООД;BG;in use;avis-eng.eu;
AVL;AVL;Alexander von Lüpke;DE;in use;;
AVOLL;AVOLL;Lokvermietung Aggerbahn Andreas Voll e.K.;DE;in use;aggerbahnde;
AW;AW;Arenaways srl;IT;in use;arenaways.com;
AWA;AWA;GINEUROGRUP 2008 SRL;RO;in use;;
AWAM;AWAM;AWAMARF GRUP SRL;RO;in use;;
AWIM;AWIM;AWI Maskin AB;SE;in use;awi.se;
AWKHG;AWKHG;Eigentümergemeinschaft;DE;in use;;
AWR;AWR;AW RAIL S.r.l;IT;in use;awrail.it;
AWT;AWT;PKP CARGO INTERNATIONAL a.s.;CZ;in use;pkpcargointernational.com;
AWTHU;AWTHU;AWT RAIL HU Ltd;HU;in use;bivzrt.hu;
AWTR;AWTR;AWT ROSCO a.s.;CZ;in use;awt.eu;
AWTSK;AWTSK;AWT Rail SK a.s.;SK;Revoked;;
AXBSK;AXBSK;AXBENET, s.r.o;SK;in use;;
AXEL;AXEL;AXEL-RAIL;PL;in use;axel-rail.pl;
AXIL;AXIL;AXIL INGENIERÍA Y SERVICIOS, S.L.;ES;in use;axilingenieria.com/wp/;
AXS;AXS;Axess Logistics AB;SE;in use;axesslogistics.se;
AYASA;AYASA;CONSTRUCCIONES Y OBRAS AYASA, S.L.;ES;in use;construccionesayasa.es;
AZ;AZ;Railways of Azerbaidjan;AZ;in use;;OTIF
AZAFT;AZAFT;Asociación Zaragozana de Amigos del Ferrocarril y Tranvías;ES;in use;azaft.org / trenazul.es;
AZBAU;AZBAU;Achatz GmbH Bauunteinehmung;DE;in use;achatz-bau.de;
AŽD;AZD;AŽD Praha, s.r.o.;CZ;in use;azd.cz;
AZO;AZO;AZOMURES SA;RO;in use;azomures.com;
AZR;AZR;AZURAIL;FR;in use;azurail.fr;
AZS;AZS;RDC Autozug Sylt GmbH;DE;in use;autozug-sylt.de;
AZVI;AZVI;AZVI, s.a.;ES;in use;azvi.es;
AZW;AZW;Axel Zwingenberger;DE;in use;;
B;B;NMBS/SNCB;BE;in use;b-rail.com;
BADUC;BADUC;BADUC  S.A.;RO;in use;baduc.ro;
BAGL;BAGL;Bucher AG Langenthal;CH;in use;;OTIF
BALZO;BALZO;Construcciones y Promociones Balzola S.A.U.;ES;in use;balzola.com;
BAM;BAM;BAM Rail;NL;in use;bam.nl;
BARÁK;BARAK;Barák Milan;CZ;in use;;
BARD;BARD;Bardos  a.s.;CZ;in use;;
BASAB;BASAB;Baneservice Skandinavia AB;SE;Revoked;baneservice.se;
BASF;BASF;BASF SE;DE;in use;basf.com;
BAUTE;BAUTE;Bautec GmbH & Co. KG;DE;Revoked;;
BAX;BAX;BAREXIM SRL;RO;in use;tts-group.ro;
BAYER;BAYER;Bayer CropScience Deutschland GmbH;DE;in use;;
BAYIK;BAYIK;BAYIK DEMIR TIC.LTD. ŞTI;TR;in use;;OTIF
BB;BB;Baggerbetrieb Burkhardt GmbH;DE;Revoked;baggerbetrieb-burkhardt.de;
BBBB;BBBB;BB Baumachinen Boizenburg GmbH;DE;in use;baumaschinen-boizenburg.de;
BBBIT;BBBIT;Bittner Bahn.- und Gleisbau GmbH;AT;in use;bbw.at;
BBFW;BBFW;Bergische Bahnen / Förderverein Wupperschiene e.V.;DE;in use;wupperschiene.eu;
BBG;BBG;Bahnbetriebsgesellschaft Stauden;DE;in use;staudenbahn.de;
BBIGB;BBIGB;Peter Gross Rail GmbH & Co. KG;DE;in use;gross-bau.de;
BBL;BBL;BBL Logistik GmbH;DE;in use;bbl-logistik.de;
BBLC;BBLC;BBL Consulting GmbH;DE;in use;bbl-logistik.de;
BBLLG;BBLLG;BBL-Bahnbau Lüneburg GmbH;DE;in use;;
BBM;BBM;BRÜNING-BAUMASCHINEN UG;DE;in use;;
BBN;BBN;Bahnbau Nord GmbH;DE;in use;bahnbaunord.de;
BBÖ;BBO;Niederösterreichische Bahnnostalgie;AT;in use;nbn-bahn.com;
BBR;BBR;Rail Power Systems GmbH;DE;Revoked;bbrail.com;
BBRA;BBRA;Balfour Beatty GmbH;AT;Revoked;bbrail.at;
BBRB;BBRB;Implenia Regiobau GmbH (Rechtsnachfolger Bilfinger);DE;in use;;
BBRI;BBRI;BALFOUR BEATTY RAIL IBÉRICA S.A.U.;ES;Revoked;bbrail.com;
BBRL;BBRL;Balfour Beatty Rail;UK;in use;bbrail.com;
BBRSE;BBRSE;Balfour Beatty Rail AB;SE;in use;bbrail.se;
BBVAG;BBVAG;Boldizsár Béla;SK;in use;;
BBW;BBW;Bahnbau Wels GmbH;AT;in use;bbw.at;
BBWEI;BBWEI;Bahnbau WEIDLICH GmbH;DE;in use;;
BBZW;BBZW;Böhrer Baumaschinen GmbH & Co. KG;DE;in use;boehrer-baumaschinen.de;
BC/БЧ;BC;Belarus Railways;BY;in use;rw.by;OTIF
BCA;BCA;BCA Entreprenad AB;SE;Revoked;bca.se;
BCB;BCB;Bayerische Cargobahn;DE;in use;bayerischecargobahn.de;
BCH;BCH;BorsodChem MCHZ, s.r.o.;CZ;in use;;
BCHEM;BCHEM;BorsodChem Zrt.;HU;in use;borsodchem-group.com;
