STRNR;KMANF_E;KMEND_E;KMANF_V;KMEND_V;STRNAME;STRKURZN
5634;100000000;113450085;  0,0 +   0;134,5 +  85;Landshut(Bay) Hbf - Bayerisch Eisenstein,Gl 4(DB-Grenze);Landshut - Bayer. Eisenstein
5640;99949943;102560003; -0,5 + -56; 25,6 +   3;Landau (Isar), W 1 - Arnstorf (Niederbay),Gl 2, G-Bahn;Landau - Arnstorf
5641;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Aufhausen - Kröhstorf;ehemalige Strecke 5641
5700;99979905;112050000; -0,2 + -94;120,5 +   0;Rosenheim, W 205 - Pilsting;Rosenheim - Pilsting
5701;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Bad Aibling - Feilnbach;ehemalige Strecke 5701
5702;99959952;103180068; -0,4 + -47; 31,8 +  68;Rosenheim, W 63 - Kiefersfelden (DB-Grenze);Rosenheim - Kiefersfelden
5703;100000000;108270058;  0,0 +   0; 82,7 +  58;Rosenheim - Salzburg Grenze;Rosenheim - Salzburg Grenze
5704;100330036;101100017;  3,3 +  36; 11,0 +  17;Abzw Landl (Oberbay), W 703 - Rohrdorf (Oberbay);Abzw Landl - Rohrdorf
5705;100000028;101840089;  0,0 +  28; 18,4 +  89;Bad Endorf (Oberbay) - Obing, Gl 1;Bad Endorf - Obing
5706;100000065;100980004;  0,0 +  65;  9,8 +   4;Prien am Chiemsee, Gl 6 - Aschau (Chiemgau);Prien am Chiemsee - Aschau
5707;100000000;100120015;  0,0 +   0;  1,2 +  15;Rosenheim, W 600 - Rosenheim, W 501;Rosenheim, W 600 - W 501
5708;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Glan Raubling - Kollerfilze;ehemalige Strecke 5708
5710;100000000;102420098;  0,0 +   0; 24,2 +  98;Grafing Bahnhof - Wasserburg (Inn) Bahnhof, W 3;Grafing Bf - Wasserburg Bf
5711;99969949;100440050; -0,3 + -50;  4,4 +  50;Wasserburg (Inn) Bahnhof, W 22 - ehem. Wasserburg (Inn) Stadt, Gl 1;Wasserburg Bf - ehem. Stadt
5720;100020030;103880075;  0,2 +  30; 38,8 +  75;Neumarkt-St. Veit, W 7 - Landshut (Bay) Hbf;Neumarkt-St. Veit - Landshut
5721;99959945;102050087; -0,4 + -54; 20,5 +  87;Dorfen Bahnhof, W 2 - Velden (Vils), Gl 2, G-Bahn;Dorfen - Velden
5722;99959964;101810040; -0,4 + -35; 18,1 +  40;Thann-Matzbach, W 1 - Haag (Oberbay);Thann-Matzbach - Haag
5723;100010016;106580095;  0,1 +  16; 65,8 +  95;Mühldorf (Oberbay), W 91 - Freilassing, W 204;Mühldorf - Freilassing
5724;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Wiesmühl - Tittmoning;ehemalige Strecke 5724
5725;100720068;103220096;  7,2 +  68; 32,2 +  96;Tüßling, W 8 - Burghausen;Tüßling - Burghausen
5726;100000013;100150032;  0,0 +  13;  1,5 +  32;Burghausen (Oberbay), W 1 - Burghausen Wackerwerk;Burghausen - Wackerwerk
5727;101900077;102810015; 19,0 +  77; 28,1 +  15;Tutting - Pocking;Tutting - Pocking
5728;99979972;100360003; -0,2 + -27;  3,6 +   3;Tutting - Rotthalmünster;Tutting - Rotthalmünster
5730;99969925;103440011; -0,3 + -74; 34,4 +  11;Traunstein, W 51 - Garching (Alz), W 3;Traunstein - Garching (Alz)
5731;100040028;100380058;  0,4 +  28;  3,8 +  58;Hörpolding, W 17 - Traunreut;Hörpolding - Traunreut
5732;99979920;100810060; -0,2 + -79;  8,1 +  60;Übersee, W 308 - Marquartstein, Gl 2a;Übersee - Marquartstein
5733;99969941;101320016; -0,3 + -58; 13,2 +  16;Traunstein, W 66 - Ruhpolding;Traunstein - Ruhpolding
5734;100000007;101050075;  0,0 +   7; 10,5 +  75;Abzw Hufschlag, W 103 - Waging;Abzw Hufschlag - Waging
5740;100000000;101480055;  0,0 +   0; 14,8 +  55;Freilassing - Bad Reichenhall;Freilassing - Bad Reichenhall
5741;100000000;101910028;  0,0 +   0; 19,1 +  28;Bad Reichenhall - Berchtesgaden Hbf;Bad Reichenh. - Berchtesgaden
5742;99979981;100150055; -0,2 + -18;  1,5 +  55;Berchtesgaden Hbf, W 1 - Berchtesgaden, Salzbergwerk, G-Bahn;Berchtesgaden - Salzbergwerk
5743;100000000;100440010;  0,0 +   0;  4,4 +  10;Berchtesgaden Königsseer Bf - Königssee (Oberbay);Berchtesgaden - Königsee
5744;108160079;108270058; 81,6 +  79; 82,7 +  58;Freilassing - Salzburg Grenze Süd;Freilassing - Salzburg Grenze
5800;99979966;106720003; -0,2 + -33; 67,2 +   3;Schwandorf, W 402 - Furth im Wald;Schwandorf - Furth
5801;118410002;119080029;184,1 +   2;190,8 +  29;Furth im Wald Grenze - Furth im Wald;Furth im Wald Grenze - Furth
5802;99959994;102810075; -0,4 +  -5; 28,1 +  75;Bodenwöhr Nord, W 55 - Rötz;Bodenwöhr - Rötz
5803;100020071;100910007;  0,2 +  71;  9,1 +   7;Bodenwöhr Nord, W 8 - Nittenau;Bodenwöhr Nord - Nittenau
5804;99969999;104600058; -0,3 +   0; 46,0 +  58;Nabburg, W 21 - Schönsee;Nabburg - Schönsee
5810;99979962;102190001; -0,2 + -37; 21,9 +   1;Cham (Oberpf), W 44 - Waldmünchen;Cham - Waldmünchen
5811;100250095;102250064;  2,5 +  95; 22,5 +  64;Cham (Oberpf), W 70 - Bad Kötzting;Cham - Bad Kötzting
5812;99979946;104970040; -0,2 + -53; 49,7 +  40;Straubing, W 59 - Miltach;Straubing - Miltach
5820;99969914;101480033; -0,3 + -85; 14,8 +  33;Zwiesel (Bay), W 34 - Bodenmais;Zwiesel - Bodenmais
5821;99969941;103160000; -0,3 + -58; 31,6 +   0;Zwiesel (Bay), W 33 - Grafenau;Zwiesel - Grafenau
5830;100000000;110970096;  0,0 +   0;109,7 +  96;Passau Hbf - Obertraubling, W 5 und W 6;Passau - Obertraubling
5831;107960036;108120013; 79,6 +  36; 81,2 +  13;(DB-Grenze) - Passau Hbf;(DB-Grenze) - Passau
5832;100250068;109500012;  2,5 +  68; 95,0 +  12;Passau Hbf, W 400 - Neumarkt-St. Veit, W 9;Passau - Neumarkt-St. Veit
5833;99979969;101100017; -0,2 + -30; 11,0 +  17;Vilshofen (Niederbay), W 45 - Ortenburg (Niederbay);Vilshofen - Ortenburg
5834;100000000;101250072;  0,0 +   0; 12,5 +  72;Vilshofen (Niederbay) - Aidenbach;Vilshofen - Aidenbach
5840;100280026;104980015;  2,8 +  26; 49,8 +  15;Passau Hbf, W 412 - Freyung, Gl 2;Passau - Freyung
5841;100060064;105420045;  0,6 +  64; 54,2 +  45;Deggendorf Hbf, W 1 - Kalteneck;Deggendorf - Kalteneck
5842;99969938;102690010; -0,3 + -61; 26,9 +  10;Waldkirchen (Niederbay), W 2 - Haidmühle (DB-Grenze);Waldkirchen - Haidmühle
5843;100070095;102520031;  0,7 +  95; 25,2 +  31;Passau Hbf Voglau - Hauzenberg, Gl 2, G-Bahn;Passau - Hauzenberg
5844;100020087;102010063;  0,2 +  87; 20,1 +  63;Erlau (b Passau), W 9 - Wegscheid (Niederbay), G-Bahn;Erlau - Wegscheid
5845;99969982;100290078; -0,3 + -17;  2,9 +  78;Passau Hbf, W 15 - Passau Hbf, W 414;Passau Hbf, W 15 - W 414
5850;99969988;110050069; -0,3 + -11;100,5 +  69;Regensburg Hbf, W 48 - Nürnberg Hbf;Regensburg - Nürnberg
5851;100310024;107760037;  3,1 +  24; 77,6 +  37;Regensburg Hbf, W 455 - Ingolstadt Nord, W 32;Regensburg - Ingolstadt Nord
5852;99969924;100420064; -0,3 + -75;  4,2 +  64;Sinzing (b Regensburg) - Alling;Sinzing - Alling
5853;100050057;100590056;  0,5 +  57;  5,9 +  56;Saal (Donau), W 29 - Kelheim (Glan), G-Bahn;Saal - Kelheim
5854;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Regensburg Hbf - Regensburg Hafen;ehemalige Strecke 5854
5855;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Regensburg Ost - Regensburg-Petroleum-Hafen;ehemalige Strecke 5855
5860;99949953;108660017; -0,5 + -46; 86,6 +  17;Regensburg Hbf, W 90 - Weiden (Oberpf);Regensburg - Weiden
5861;99929932;100170093; -0,7 + -67;  1,7 +  93;Regensburg Ost, W 3 - Abzw Regensburg Hafenbrücke, W 1;Regensburg Ost - Hafenbrücke
5862;100250077;102350018;  2,5 +  77; 23,5 +  18;Regensburg-Walhallastraße - Wörth (Donau);Regensb.-Walhallastr. - Wörth
5863;99979981;103550073; -0,2 + -18; 35,5 +  73;Regensburg-Wutzlhofen - Falkenstein (Oberpf);Regensb.-Wutzlh. - Falkenstein
5864;99899989;100710045; -1,0 + -10;  7,1 +  45;Maxhütte-Haidhof, W 203 - Burglengenfeld, Gl 1;Maxh.-Haidhof - Burglengenfeld
5865;100000000;100190083;  0,0 +   0;  1,9 +  83;Abzw Regensburg Hafen, W 100 - Regensburg Osthafen, W 1, (Glan),G-Bahn;Regensburg Hafen - Osthafen
5900;100000000;106230072;  0,0 +   0; 62,3 +  72;Nürnberg Hbf - Bamberg;Nürnberg Hbf - Bamberg
5901;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Nürnberg Hbf, Gl 6 - Nürnberg Hbf, W 400;ehemalige Strecke 5901
5902;100000000;108000079;  0,0 +   0; 80,0 +  79;Nürnberg Hbf - Schnelldorf, Streckenwechsel 4951/5902;Nürnberg Hbf - Schnelldorf
5903;100000002;114050089;  0,0 +   2;140,5 +  89;Nürnberg Hbf - Schirnding Grenze;Nürnberg Hbf - Schirnding
5904;99999991;109020088;  0,0 +  -8; 90,2 +  88;Nürnberg Hbf - Irrenlohe, W 3;Nürnberg Hbf - Irrenlohe
5905;99969945;103300090; -0,3 + -54; 33,0 +  90;Nürnberg-Stein - Unternbibert-Rügland;Nürnberg-Stein - Unternbibert
5906;100000000;100030032;  0,0 +   0;  0,3 +  32;Nürnberg-Doos, W 196 - Fürth (Bay) Gbf, W 5;Nürnberg-Doos - Fürth Gbf
5907;100030063;100700045;  0,3 +  63;  7,0 +  45;Nürnberg Hbf, W 286 - Fürth (Bay) Hbf, W 116;Nürnberg Hbf - Fürth Hbf
5908;100000000;100090015;  0,0 +   0;  0,9 +  15;Frauenaurach Großkraftw., W 501 - Frauenaurach Großkraftw. Franken II;Großkraftw., W501 - Franken II
5909;100000000;100010000;  0,0 +   0;  0,1 +   0;reservierte Strecke - Nürnberg Hbf - Hgbf (südl. Lokverb.gleis) (Plng);reservierte Strecke 5909
5910;99959939;109450083; -0,4 + -60; 94,5 +  83;Fürth (Bay) Hbf, W 154 - Würzburg Hbf;Fürth - Würzburg
5911;99979907;101280095; -0,2 + -92; 12,8 +  95;Fürth (Bay) Hbf, W 144 - Cadolzburg, Gl 5;Fürth - Cadolzburg
5912;99999980;100130099;  0,0 + -19;  1,3 +  99;Nür-Muggenhof Streckenwechsel 5923/5912 - Fürth (Bay) Hbf, W 2;Nürnberg-Muggenhof - Fürth Hbf
5913;99979935;101770018; -0,2 + -64; 17,7 +  18;Siegelsdorf, W 3 - Markt Erlbach, Gl 2;Siegelsdorf - Markt Erlbach
5914;99979929;101530022; -0,2 + -70; 15,3 +  22;Neustadt (Aisch) Bahnhof, W 12 - Bad Windsheim;Neustadt - Bad Windsheim
5915;100000052;101530097;  0,0 +  52; 15,3 +  97;Neustadt (Aisch) Bahnhof - Demantsfürth-Ühlfeld;Neustadt - Demantsfürth
5916;99999949;100900015;  0,0 + -50;  9,0 +  15;Erlangen-Bruck, W 501 - Herzogenaurach, Gl 2;Erlangen - Herzogenaurach
5917;100000000;100240030;  0,0 +   0;  2,4 +  30;Frauenaurach, W 551 - Lände Erlangen;Frauenaurach - Lände Erlangen
5918;100000000;100250040;  0,0 +   0;  2,5 +  40;Abzw Fürth-Unterfürberg, W 403 - Lände Atzenhof;Unterfürberg - Lände Atzenhof
5919;101850092;131180089; 18,5 +  92;311,8 +  89;Eltersdorf, W 402 --Erfurt-- - Leipzig Hbf, Gl 12;Eltersdorf - Leipzig Hbf
5920;100000061;102800096;  0,0 +  61; 28,0 +  96;Nürnberg Nordost, Gl 101 - Gräfenberg, Gl 501;Nürnberg Nordost - Gräfenberg
5921;99999952;100440084;  0,0 + -47;  4,4 +  84;Nürnberg Nordost - Abzw Eichelberg;Nürnberg Nordost - Eichelberg
5922;99969975;100390075; -0,3 + -24;  3,9 +  75;Nürnberg Ost, W 77 - Nür-Dutzendteich, Gl 306, G-Bahn;Nürnberg Ost - Dutzendteich
5923;99969972;101210051; -0,3 + -27; 12,1 +  51;Nürnberg Ost, W 12 - Nürnberg Großmarkt;Nürnberg Ost - N Großmarkt
5924;99929911;100360048; -0,7 + -88;  3,6 +  48;Nürnberg-Mögeldorf, W 25 - Nür-Dutzendteich, Gl 307, G-Bahn;N-Mögeldorf - Dutzendteich
5925;99979902;100990014; -0,2 + -97;  9,9 +  14;Neunkirchen a Sand, W 528 - Simmelsdorf-Hüttenbach;Neunkirchen - Simmelsdorf
5926;99969965;100510053; -0,3 + -34;  5,1 +  53;Hersbruck (rechts Pegnitz), W 5 - Abzw Pommelsbrunn, W 403;Hersbruck - Abzw Pommelsbrunn
5927;100000000;100840060;  0,0 +   0;  8,4 +  60;Ranna - Auerbach (Oberpf);Ranna - Auerbach
5930;99969916;103710080; -0,3 + -83; 37,1 +  80;Neumarkt (Oberpf) - Dietfurt (Altmühl);Neumarkt - Dietfurt
5931;99989977;100980064; -0,1 + -22;  9,8 +  64;Greißelbach - Freystadt (Oberpf);Greißelbach - Freystadt
5932;99989981;101480092; -0,1 + -18; 14,8 +  92;Burgthann - Allersberg;Burgthann - Allersberg
5933;100020033;101170007;  0,2 +  33; 11,7 +   7;Feucht, W 111 - Altdorf (b Nürnberg), Gl 1;Feucht - Altdorf
5934;100940040;108700013;  9,4 +  40; 87,0 +  13;Abzw Nürnberg Reichswald, W 45 - Ingolstadt Nord, W 15;N Reichswald - Ingolstadt Nord
5940;100100035;100210031;  1,0 +  35;  2,1 +  31;Nürnberg-Eibach, Kanalbrücke, W 79 - Abzw Hohe Marter, W 591, G-Bahn;Nürnberg-Eibach - Hohe Marter
5941;100000000;100400060;  0,0 +   0;  4,0 +  60;Nürnberg-Eibach, W 63 - Nür Hafen (Glan), Gl 10, H-Bahn;Nürnberg-Eibach - Hafen Gl10
5942;99999949;100410049;  0,0 + -50;  4,1 +  49;Nürnberg Rbf Ausfahrt, W 337 - Nürnberg-Eibach, W 53;Nürnberg Rbf - Nürnberg-Eibach
5943;100140028;100710020;  1,4 +  28;  7,1 +  20;Nürnberg Rbf Minervabrücke - Nürnberg-Reichelsdorf, W 2;Nür Minervabr. - Reichelsdorf
5944;99999940;103930065;  0,0 + -59; 39,3 +  65;Roth, W 21 - Greding;Roth - Greding
5945;99989951;100700082; -0,1 + -48;  7,0 +  82;Georgensgmünd - Spalt;Georgensgmünd - Spalt
5946;100000000;100310080;  0,0 +   0;  3,1 +  80;Nür.-Eibach, Hafenbf. (Glan), W 2 - Nürnbg Hafen, Gl 1, H-Bahn;N-Eibach Hafenbf - Hafen Gl1
5947;100000000;100010000;  0,0 +   0;  0,1 +   0;ehemalige Strecke - Roth - Fischbach (bei Nürnberg);ehemalige Strecke 5947
5950;99999983;101060053;  0,0 + -16; 10,6 +  53;Nürnberg Rbf Ausfahrt, W 326 - Fürth (Bay) Hbf, W 165;Nürnberg Rbf - Fürth
5951;99999983;100550019;  0,0 + -16;  5,5 +  19;Nürnberg Rbf Ausfahrt, W 326 - Nürnberg-Stein, W 8275;Nürnberg Rbf - Nürnberg-Stein
5952;99999949;100590037;  0,0 + -50;  5,9 +  37;Nürnberg Rbf Ausfahrt, W 337 - Abzw Nürnberg Jansenbrücke, W 406;Nürnberg Rbf - Abzw Jansenbr.
5953;100360053;100430095;  3,6 +  53;  4,3 +  95;ehem. Abzw Nürnberg Viehhof - Nürnberg Viehhof;Abzw Nür Viehhof - Nür Viehhof
5954;100120082;100410063;  1,2 +  82;  4,1 +  63;Nürnberg Rbf, Minervabr, W 524 - Heizkraftwerk Sandreuth(Glan), G-Bahn;N Minervabr - Heizkraftwerk
5955;100480034;101890094;  4,8 +  34; 18,9 +  94;Abzw Kleinreuth, W 102 - Eltersdorf, W 405;Abzw Kleinreuth - Eltersdorf
5960;100000000;100510069;  0,0 +   0;  5,1 +  69;Nürnberg Rbf Minervabrücke - Nürnberg Rbf Einfahrt, Gl 485;N Minervabr - Rbf Einf, Gl 485
5961;99979975;100340068; -0,2 + -24;  3,4 +  68;Nürnberg Rbf, W 118 - Nürnberg-Langwasser, W 665;Nürnberg Rbf - Langwasser
5962;99909900;100850095; -0,9 + -99;  8,5 +  95;Nürnberg Rbf, W 498 - Nürnberg-Dutzendteich, Gl 306/307;Nürnberg Rbf - Dutzendteich
5963;99939951;100990009; -0,6 + -48;  9,9 +   9;Nürnberg Rbf, W 451 - Abzw Nürnberg Reichswald, W 41;Nürnberg Rbf - Reichswald
5964;99989921;100330022; -0,1 + -78;  3,3 +  22;Nürnberg Rbf Minervabrücke, W 561 - Nür Rbf Einfahrt, W 102 (ü Gl 763);N Minervabr - Rbf Einf ü Gl763
5965;99999948;100280086;  0,0 + -51;  2,8 +  86;Nürnberg Rbf Minervabrücke, W 535 - Nür Rbf Einfahrt, W 117 (ü Gl 761);N Minervabr - Rbf Einf ü Gl761
5970;100120026;101270086;  1,2 +  26; 12,7 +  86;Nürnberg-Dürrenhof, W 60  - Feucht, W 108, S-Bahn;Nürnberg-Dürrenhof - Feucht
5971;100000000;102560021;  0,0 +   0; 25,6 +  21;Nürnberg Hbf - Roth, W 20;Nürnberg - Roth
5972;100000000;101950000;  0,0 +   0; 19,5 +   0;Nürnberg Hbf - Eltersdorf (Planungstitel);Nürnberg Hbf - Eltersdorf
6001;100000000;100200075;  0,0 +   0;  2,0 +  75;Berlin-Pankow - Berlin Schönhauser Allee, S-Bahn;Bln-Pankow - Schönhauser Allee
6002;100000072;102260077;  0,0 +  72; 22,6 +  77;Berlin Nordbahnhof Strw 6032/6002 - Bernau (b Berlin), S-Bahn;Berlin Nordbf Strw - Bernau
6003;100000000;100270076;  0,0 +   0;  2,7 +  76;Berlin Ostbahnhof - Berlin Ostkreuz, S-Bahn;Berlin Ostbf - Berlin Ostkreuz
6004;100010088;102430070;  0,1 +  88; 24,3 +  70;Berlin Ostbahnhof, W 32 - Erkner, S-Bahn;Berlin Ostbf - Erkner
6005;101000077;101140005; 10,0 +  77; 11,4 +   5;Berlin-Blankenburg, W 33 - Abzw Berlin-Karow West, W 2, S-Bahn;Bln-Blankenb. - Karow West, W2
6006;100020019;102830022;  0,2 +  19; 28,3 +  22;Berlin Ostbahnhof S-Bahn, W 41 - Strausberg, 75W53, S-Bahn;Bln Ostbahnhof - Strausberg
6007;99949984;102780041; -0,5 + -15; 27,8 +  41;Berlin Warschauer Straße, W 618 - Königs Wusterhausen, S-Bahn;Warschauer Str - Königs Wuster
6008;99999967;101350087;  0,0 + -32; 13,5 +  87;Grünauer Kreuz Südost, W 112 - Berlin Flughafen BER, S-Bahn;Grünauer Kr - Bln Flughafen
6009;100150001;101290076;  1,5 +   1; 12,9 +  76;Abzw Berlin-Karow West, W 2 - Bergfelde, Streckenw. 6009/6010, S-Bahn;Abzw Karow West - Bergfelde
6010;99989995;100290044; -0,1 +  -4;  2,9 +  44;Hohen Neuendorf (b Berlin), W 7 - Bergfelde, Strw 6009/6010, S-Bahn;Hohen Neuendorf - Bergfelde
6011;100690045;101420077;  6,9 +  45; 14,2 +  77;Abzw Biesdorfer Kreuz S-Bahn, W 61 - Ahrensfelde, S-Bahn;Biesdorfer Kreuz - Ahrensfelde
6012;100890056;102000060;  8,9 +  56; 20,0 +  60;Berlin Springpfuhl, W 69 --Wartenberg-- - Abzw Karow West, S-Bahn;Bln Springpfuhl - Karow West
6013;100030020;100290073;  0,3 +  20;  2,9 +  73;Berlin-Charlottenburg, W 324 - Berlin-Grunewald, Stw Gdr,W 312;Bln-Charlottenb - Bln-Grunewld
6014;101090070;101420090; 10,9 +  70; 14,2 +  90;Berlin-Charlottenburg - Berlin-Westend;Bln-Charlottenburg - Westend
6015;100000000;100200000;  0,0 +   0;  2,0 +   0;Berlin-Grünau - Berlin-Wendenheide (nur Brücken);Bln-Grünau - Wendenheide(n.Br)
6017;100000000;100500000;  0,0 +   0;  5,0 +   0;Berlin Westhafen - Berlin Potsdamer Platz, S-Bahn (Planungstitel);Bln Westhafen - Potsd. Platz
6018;100000000;100110047;  0,0 +   0;  1,1 +  47;Berlin Bornholmer Str., W 612 - Bln Schönhauser Allee, W 752, S-Bahn;Bln Bornholmer - Schönh. Allee
6019;100010000;100320000;  0,1 +   0;  3,2 +   0;Berlin-Wedding - Berlin Lehrter Bf, S-Bahn (Planungstitel);Bln-Wedding - Bln Lehrter Bf
